id,title,description,availability,condition,price,link,image_link,brand
13638,Anipa polvo acrilico m.y.y 3 en 1 x 14gr,anipa polvo acrilico m.y.y 3 en 1 x 14gr,in stock,new,9500,https://almacensandra.com.co/product/p-13638-anipa-polvo-acrilico-myy-3-en-1-x-14gr,https://casandra-static.s3.amazonaws.com/products/13638/81223.jpg,FLOWER
13660,Vogue esmalte brillo secado rapido 45segundos x14ml,vogue esmalte brillo secado rapido 45segundos x14ml,in stock,new,6700,https://almacensandra.com.co/product/p-13660-vogue-esmalte-brillo-secado-rapido-45segundos-x14ml,https://casandra-static.s3.amazonaws.com/products/13660/81263.jpg,VOGUE
13681,Infinity kanecalon tr-m45,infinity kanecalon tr-m45,in stock,new,10900,https://almacensandra.com.co/product/p-13681-infinity-kanecalon-tr-m45,https://casandra-static.s3.amazonaws.com/products/13681/81287.jpg,ULTRA NUTRIT
13684,Infinity kanecalon californiano tr-m9,infinity kanecalon californiano tr-m9,in stock,new,11700,https://almacensandra.com.co/product/p-13684-infinity-kanecalon-californiano-tr-m9,https://casandra-static.s3.amazonaws.com/products/13684/81290.jpg,ULTRA NUTRIT
13686,Infinity lampara de uñas sun 8v ref: af6592,infinity lampara de uñas sun 8v ref: af6592,in stock,new,109400,https://almacensandra.com.co/product/p-13686-infinity-lampara-de-unas-sun-8v-ref-af6592,https://casandra-static.s3.amazonaws.com/products/13686/81292.jpg,ULTRA NUTRIT
13698,Max-mer iman of noble  amp acid hialuronic x 2ml,max-mer iman of noble  amp acid hialuronic x 2ml,in stock,new,3500,https://almacensandra.com.co/product/p-13698-max-mer-iman-of-noble-amp-acid-hialuronic-x-2ml,https://casandra-static.s3.amazonaws.com/products/13698/81311.jpg,ARMESSO
13699,Max-mer iman of noble  amp petide repair x 2ml,max-mer iman of noble  amp petide repair x 2ml,in stock,new,3500,https://almacensandra.com.co/product/p-13699-max-mer-iman-of-noble-amp-petide-repair-x-2ml,https://casandra-static.s3.amazonaws.com/products/13699/81312.jpg,ARMESSO
13700,Bell skin mascarilla jalea real x120ml,bell skin mascarilla jalea real x120ml,in stock,new,27700,https://almacensandra.com.co/product/p-13700-bell-skin-mascarilla-jalea-real-x120ml,https://casandra-static.s3.amazonaws.com/products/13700/81313.jpg,BELL SKIN
13701,Bell skin limpiadora facial leche y meil x250ml,bell skin limpiadora facial leche y meil x250ml,in stock,new,33400,https://almacensandra.com.co/product/p-13701-bell-skin-limpiadora-facial-leche-y-meil-x250ml,https://casandra-static.s3.amazonaws.com/products/13701/81314.jpg,BELL SKIN
13710,Infinity kanecalon californiano tr-m32,infinity kanecalon californiano tr-m32,in stock,new,11700,https://almacensandra.com.co/product/p-13710-infinity-kanecalon-californiano-tr-m32,https://casandra-static.s3.amazonaws.com/products/13710/81325.jpg,ULTRA NUTRIT
