sku_id,title,price,description,availability,image,link
15509,Ame base liquidasemi  matte m201,43800 COP,ame base liquidasemi  matte m201,in stock,https://casandra-static.s3.amazonaws.com/products/15509/83990.jpg,https://almacensandra.com.co/product/p-15509-ame-base-liquidasemi-matte-m201
15510,Ame base liquidasemi  matte m202,41700 COP,ame base liquidasemi  matte m202,in stock,https://casandra-static.s3.amazonaws.com/products/15510/83991.jpg,https://almacensandra.com.co/product/p-15510-ame-base-liquidasemi-matte-m202
15512,Ame base liquidasemi  matte m204,43800 COP,ame base liquidasemi  matte m204,in stock,https://casandra-static.s3.amazonaws.com/products/15512/83993.jpg,https://almacensandra.com.co/product/p-15512-ame-base-liquidasemi-matte-m204
15513,Ame base liquidasemi  matte d 300,43800 COP,ame base liquidasemi  matte d 300,in stock,https://casandra-static.s3.amazonaws.com/products/15513/83994.jpg,https://almacensandra.com.co/product/p-15513-ame-base-liquidasemi-matte-d-300
15514,Ame base liquidasemi  matte d 301,43800 COP,ame base liquidasemi  matte d 301,in stock,https://casandra-static.s3.amazonaws.com/products/15514/83995.jpg,https://almacensandra.com.co/product/p-15514-ame-base-liquidasemi-matte-d-301
15517,Ame base liquidasemi  matte d 304,43800 COP,ame base liquidasemi  matte d 304,in stock,https://casandra-static.s3.amazonaws.com/products/15517/83998.jpg,https://almacensandra.com.co/product/p-15517-ame-base-liquidasemi-matte-d-304
15518,Ame base liquidasemi  matte d 305,43800 COP,ame base liquidasemi  matte d 305,in stock,https://casandra-static.s3.amazonaws.com/products/15518/83999.jpg,https://almacensandra.com.co/product/p-15518-ame-base-liquidasemi-matte-d-305
15519,Thyms coloring tinte ceniza n.119m x 60ml,12900 COP,thyms coloring tinte ceniza n.119m x 60ml,in stock,https://casandra-static.s3.amazonaws.com/products/15519/84001.jpg,https://almacensandra.com.co/product/p-15519-thyms-coloring-tinte-ceniza-n119m-x-60ml
15521,Thyms decolorante ultra white x300ml,44100 COP,thyms decolorante ultra white x300ml,in stock,https://casandra-static.s3.amazonaws.com/products/15521/84004.jpg,https://almacensandra.com.co/product/p-15521-thyms-decolorante-ultra-white-x300ml
15522,Thyms oleo capilar 10 beneficio x15ml,2100 COP,thyms oleo capilar 10 beneficio x15ml,in stock,https://casandra-static.s3.amazonaws.com/products/15522/84005.jpg,https://almacensandra.com.co/product/p-15522-thyms-oleo-capilar-10-beneficio-x15ml
15523,Bardot esmalte petit n°143 x 8ml,3300 COP,bardot esmalte petit n°143 x 8ml,in stock,https://casandra-static.s3.amazonaws.com/products/15523/84007.jpg,https://almacensandra.com.co/product/p-15523-bardot-esmalte-petit-n°143-x-8ml
15525,Mimo art kit gotero zame blanco x und,2500 COP,mimo art kit gotero zame blanco x und,in stock,https://casandra-static.s3.amazonaws.com/products/15525/84022.jpg,https://almacensandra.com.co/product/p-15525-mimo-art-kit-gotero-zame-blanco-x-und
15526,Mimo art kit gotero zame negro x und,2500 COP,mimo art kit gotero zame negro x und,in stock,https://casandra-static.s3.amazonaws.com/products/15526/84023.jpg,https://almacensandra.com.co/product/p-15526-mimo-art-kit-gotero-zame-negro-x-und
15531,Du esmaltes colour gel n.090,19100 COP,du esmaltes colour gel n.090,in stock,https://casandra-static.s3.amazonaws.com/products/15531/84038.jpg,https://almacensandra.com.co/product/p-15531-du-esmaltes-colour-gel-n090
15532,Du esmaltes colour gel n.091,19100 COP,du esmaltes colour gel n.091,in stock,https://casandra-static.s3.amazonaws.com/products/15532/84039.jpg,https://almacensandra.com.co/product/p-15532-du-esmaltes-colour-gel-n091
15533,Du esmaltes colour gel n.094,19100 COP,du esmaltes colour gel n.094,in stock,https://casandra-static.s3.amazonaws.com/products/15533/84040.jpg,https://almacensandra.com.co/product/p-15533-du-esmaltes-colour-gel-n094
15534,Du esmaltes colour gel n.123,19100 COP,du esmaltes colour gel n.123,in stock,https://casandra-static.s3.amazonaws.com/products/15534/84041.jpg,https://almacensandra.com.co/product/p-15534-du-esmaltes-colour-gel-n123
15535,Du esmaltes colour gel n.131,19100 COP,du esmaltes colour gel n.131,in stock,https://casandra-static.s3.amazonaws.com/products/15535/84042.jpg,https://almacensandra.com.co/product/p-15535-du-esmaltes-colour-gel-n131
15537,Du esmaltes colour gel n.192,19100 COP,du esmaltes colour gel n.192,in stock,https://casandra-static.s3.amazonaws.com/products/15537/84044.jpg,https://almacensandra.com.co/product/p-15537-du-esmaltes-colour-gel-n192
15539,Rodher removedor de cuticula en crema x 500ml,17100 COP,rodher removedor de cuticula en crema x 500ml,in stock,https://casandra-static.s3.amazonaws.com/products/15539/84047.jpg,https://almacensandra.com.co/product/p-15539-rodher-removedor-de-cuticula-en-crema-x-500ml
15540,Rodher removedor de cuticula en crema x 60ml,4200 COP,rodher removedor de cuticula en crema x 60ml,in stock,https://casandra-static.s3.amazonaws.com/products/15540/84048.jpg,https://almacensandra.com.co/product/p-15540-rodher-removedor-de-cuticula-en-crema-x-60ml
15556,Samy esmalte n.348 belgica x 14.5,5300 COP,samy esmalte n.348 belgica x 14.5,in stock,https://casandra-static.s3.amazonaws.com/products/15556/84068.jpg,https://almacensandra.com.co/product/p-15556-samy-esmalte-n348-belgica-x-145
15557,Samy esmalte n.349 haiti x 14.5ml,5300 COP,samy esmalte n.349 haiti x 14.5ml,in stock,https://casandra-static.s3.amazonaws.com/products/15557/84069.jpg,https://almacensandra.com.co/product/p-15557-samy-esmalte-n349-haiti-x-145ml
15559,Samy esmalte n.352 españa x 14.5ml,5300 COP,samy esmalte n.352 españa x 14.5ml,in stock,https://casandra-static.s3.amazonaws.com/products/15559/84072.jpg,https://almacensandra.com.co/product/p-15559-samy-esmalte-n352-espana-x-145ml
15560,Bys pro shampoo neutro ph 5.5 x1000ml,28300 COP,bys pro shampoo neutro ph 5.5 x1000ml,in stock,https://casandra-static.s3.amazonaws.com/products/15560/84076.jpg,https://almacensandra.com.co/product/p-15560-bys-pro-shampoo-neutro-ph-55-x1000ml
15561,Bys pro acondicionador hierbagen aloe vera x1000ml,28300 COP,bys pro acondicionador hierbagen aloe vera x1000ml,in stock,https://casandra-static.s3.amazonaws.com/products/15561/84077.jpg,https://almacensandra.com.co/product/p-15561-bys-pro-acondicionador-hierbagen-aloe-vera-x1000ml
15592,Nouvelle tinte touch alabastro 9.71 x 60ml,18100 COP,nouvelle tinte touch alabastro 9.71 x 60ml,in stock,https://casandra-static.s3.amazonaws.com/products/15592/84111.jpg,https://almacensandra.com.co/product/p-15592-nouvelle-tinte-touch-alabastro-971-x-60ml
15604,Mirely piel artificial fx 50 de largo x15cm de ancho,16300 COP,mirely piel artificial fx 50 de largo x15cm de ancho,in stock,https://casandra-static.s3.amazonaws.com/products/15604/84123.jpg,https://almacensandra.com.co/product/p-15604-mirely-piel-artificial-fx-50-de-largo-x15cm-de-ancho
15619,Nouvelle tinte touch rubio claro cobre ultra intenso 88.44 x 60ml,18100 COP,nouvelle tinte touch rubio claro cobre ultra intenso 88.44 x 60ml,in stock,https://casandra-static.s3.amazonaws.com/products/15619/84140.jpg,https://almacensandra.com.co/product/p-15619-nouvelle-tinte-touch-rubio-claro-cobre-ultra-intenso-8844-x-60ml
15620,Raquel maquillaje caracterizacion neon magenta x 4gr,8100 COP,raquel maquillaje caracterizacion neon magenta x 4gr,in stock,https://casandra-static.s3.amazonaws.com/products/15620/84141.jpg,https://almacensandra.com.co/product/p-15620-raquel-maquillaje-caracterizacion-neon-magenta-x-4gr
15621,Raquel maquillaje caracterizacion neon yellow x 4gr,8400 COP,raquel maquillaje caracterizacion neon yellow x 4gr,in stock,https://casandra-static.s3.amazonaws.com/products/15621/84142.jpg,https://almacensandra.com.co/product/p-15621-raquel-maquillaje-caracterizacion-neon-yellow-x-4gr
15622,Raquel maquillaje caracterizacion neon green x 4gr,8100 COP,raquel maquillaje caracterizacion neon green x 4gr,in stock,https://casandra-static.s3.amazonaws.com/products/15622/84143.jpg,https://almacensandra.com.co/product/p-15622-raquel-maquillaje-caracterizacion-neon-green-x-4gr
15626,Masglo esmalte  gel polish coherente x 7 ml,17200 COP,masglo esmalte  gel polish coherente x 7 ml,in stock,https://casandra-static.s3.amazonaws.com/products/15626/84149.jpg,https://almacensandra.com.co/product/p-15626-masglo-esmalte-gel-polish-coherente-x-7-ml
15627,Masglo esmalte  gel polish confiable x 7 ml,17200 COP,masglo esmalte  gel polish confiable x 7 ml,in stock,https://casandra-static.s3.amazonaws.com/products/15627/84151.jpg,https://almacensandra.com.co/product/p-15627-masglo-esmalte-gel-polish-confiable-x-7-ml
15628,Masglo esmalte  gel polish consentida x 7 ml,17200 COP,masglo esmalte  gel polish consentida x 7 ml,in stock,https://casandra-static.s3.amazonaws.com/products/15628/84152.jpg,https://almacensandra.com.co/product/p-15628-masglo-esmalte-gel-polish-consentida-x-7-ml
15629,Masglo esmalte  gel polish distante x 7 ml,17200 COP,masglo esmalte  gel polish distante x 7 ml,in stock,https://casandra-static.s3.amazonaws.com/products/15629/84153.jpg,https://almacensandra.com.co/product/p-15629-masglo-esmalte-gel-polish-distante-x-7-ml
15630,Masglo esmalte  gel polish despistada x 7 ml,17200 COP,masglo esmalte  gel polish despistada x 7 ml,in stock,https://casandra-static.s3.amazonaws.com/products/15630/84154.jpg,https://almacensandra.com.co/product/p-15630-masglo-esmalte-gel-polish-despistada-x-7-ml
15631,Masglo esmalte  gel polish analitica x 7 ml,17200 COP,masglo esmalte  gel polish analitica x 7 ml,in stock,https://casandra-static.s3.amazonaws.com/products/15631/84155.jpg,https://almacensandra.com.co/product/p-15631-masglo-esmalte-gel-polish-analitica-x-7-ml
15632,Masglo esmalte  gel polish ausente x 7 ml,17200 COP,masglo esmalte  gel polish ausente x 7 ml,in stock,https://casandra-static.s3.amazonaws.com/products/15632/84156.jpg,https://almacensandra.com.co/product/p-15632-masglo-esmalte-gel-polish-ausente-x-7-ml
15633,Masglo esmalte  gel polish atletica  x 7 ml,17200 COP,masglo esmalte  gel polish atletica  x 7 ml,in stock,https://casandra-static.s3.amazonaws.com/products/15633/84157.jpg,https://almacensandra.com.co/product/p-15633-masglo-esmalte-gel-polish-atletica-x-7-ml
15634,Masglo esmalte  gel polish ejemplar  x 7 ml,17200 COP,masglo esmalte  gel polish ejemplar  x 7 ml,in stock,https://casandra-static.s3.amazonaws.com/products/15634/84158.jpg,https://almacensandra.com.co/product/p-15634-masglo-esmalte-gel-polish-ejemplar-x-7-ml
